#People        #Trials        #Positive      Pct            
5              30             0              0.00           
10             30             1              3.33           
15             30             8              26.67          
20             30             9              30.00          
25             30             19             63.33          
30             30             20             66.67          
35             30             27             90.00          
40             30             26             86.67          
45             30             29             96.67          
50             30             30             100.00         
55             30             30             100.00         
60             30             30             100.00         
65             30             30             100.00         
70             30             30             100.00         
75             30             30             100.00         
80             30             30             100.00         
85             30             30             100.00         
90             30             30             100.00         
95             30             30             100.00         
100            30             30             100.00         
